address,bank,body,amount
AD-YESBNK-T,YES Bank,"₹3,8,469.07 CR to your YES Bank A/c XX2572 on 29/07/2025. Ref 2ABG9SHO5D5AF. Avail bal ₹3,5,513.88.",38469.07
VM-ICICIB,ICICI Bank,"Tx Alert: Credited alert! ₹9,667.09 credited to your ICICI Bank A/c XX*8908 on 16-07-25 via UPI from VPA hpfuel@okhdfcbank (Ref 956329509059).",9667.09
VK-YESUPI-T,YES Bank,"Rs.2,1,570.93 paid from YES Bank A/c **2062 via UPI to Spencer's (spencer's@oksbi) on 28-Jul-2025. Ref 881751793608.",21570.93
VM-ICICIB,ICICI Bank,"Rs.1,403.02 received to your ICICI Bank A/c XX*4974 on 26-06-25. Ref 645339976524.",1403.02
VK-ICICIB,ICICI Bank,"INR6,039.55 purchase from ICICI Bank A/c **4844 via CHEQUE on 30-Jun-2025. Ref 0HOD7RB1S9DWD7O.",6039.55
VK-PNBUPI-I,Punjab National Bank,"Tx Alert: Received alert! INR132.71 received to your Punjab National Bank A/c xxxx7173 on 26-Aug-2025 via UPI from VPA amazon@idfcbank (Ref 513779348473). Bal INR 7,4,009.01.",132.71
AD-HDFCBK,HDFC Bank,"Rs.8,627.76 credited to HDFC Bank A/c XX1519 on 31-Jul-2025 via NEFT. Ref 707210319708. Bal Rs. 16,9,143.29.",8627.76
VK-SBIINB-T,State Bank of India,"Rs.2,4,068.86 CR to State Bank of India A/c XX8401 on 08-07-25 via IMPS. Ref 782166957471.",24068.86
AD-ICICIB-S,ICICI Bank,₹129.10 added to your ICICI Bank A/c xxxx9824 on 10-06-25. Ref 791001550758.,129.1
AD-YESBNK-S,YES Bank,"Rs.2,245.46 credited to your YES Bank A/c XX1298 on 05-08-25. Ref FF3TR7WB42P.",2245.46
AD-SBIUPI-T,State Bank of India,"Txn alert: Rs.1,612.19 debited on Card linked to State Bank of India A/c **1891 at Swiggy on 16/08/2025. Ref 950716674255.",1612.19
BP-KOTAKUPI-I,Kotak Mahindra Bank,"₹4,756.77 paid from Kotak Mahindra Bank A/c XX*1464 via IMPS on 10/08/2025. Ref MYM8J2LZW1FU.",4756.77
VM-INDUSB-T,IndusInd Bank,"INR8,432.12 added to your IndusInd Bank A/c XX5850 on 26-08-25. Ref FPPRO6DUTJTO91.",8432.12
VK-SBIINB-T,State Bank of India,"Txn alert: Rs.7,522.14 debited on Card linked to State Bank of India A/c XX*6915 at Myntra on 18/07/2025. Ref 571818495808.",7522.14
VM-INDUSB-T,IndusInd Bank,"Txn alert: ₹1,226.80 DR on Card linked to IndusInd Bank A/c XX*4381 at Airtel on 11/07/2025. Ref 190140403398.",1226.8
AD-AXISBK-T,Axis Bank,"Rs.2,0,396.84 CR to your Axis Bank A/c XX*4846 on 02/06/2025. Ref 210640649341. Avl bal: Rs. 10,4,705.74.",20396.84
VK-BOBUPI-S,Bank of Baroda,Tx Alert: Cr alert! INR313.51 CR to your Bank of Baroda A/c **8512 on 05/07/2025 via UPI from VPA amazon@axl (Ref 706374819903).,313.51
BP-KOTAKUPI-I,Kotak Mahindra Bank,"INR2,180.64 CR to your Kotak Mahindra Bank A/c xxxx6336 on 06-Jul-2025. Ref S4DILRZQ8BXY6R. Bal INR 12,8,105.92.",2180.64
AD-AXISBK-T,Axis Bank,INR388.61 added to your Axis Bank A/c xxxx6642 on 10-07-25. Ref 537005579070.,388.61
TM-SBIINB,State Bank of India,₹166.02 paid from State Bank of India A/c xxxx5382 via CHEQUE on 27-06-25. Ref SYZ7PQ4DDV283BDW.,166.02
TM-SBIINB-T,State Bank of India,"Txn alert: Rs.2,307.33 debited on Card linked to State Bank of India A/c XX6855 at PhonePe on 25-Jun-2025. Ref 806986626080.",2307.33
AD-ICICIB-I,ICICI Bank,"ATM cash paid: ₹1,6,751.61 from A/c xxxx5895 on 08/06/2025. Ref 365280692534.",16751.61
VK-INDUSUPI,IndusInd Bank,"INDUSIND Alert: Cr alert! Rs.3,1,579.14 CR to your IndusInd Bank A/c XX*2065 on 23-Aug-2025 via UPI from VPA hpfuel@okhdfcbank (Ref 587349480706).",31579.14
VK-PNBUPI-S,Punjab National Bank,"Dear Customer, ₹233.05 spent from Punjab National Bank A/c xxxx3553 via UPI to Paytm (paytm@sbi) on 21-Jul-2025. Ref 227453895110.",233.05
AD-ICICIB,ICICI Bank,Txn alert: INR327.25 DR on Card linked to ICICI Bank A/c xxxx7371 at PhonePe on 07/07/2025. Ref 979595702833.,327.25
VK-BOBUPI,Bank of Baroda,"Dear Customer, Rs.4,081.16 CR to Bank of Baroda A/c **3752 on 25/06/2025 via IMPS. Ref 553344409407. Avail bal Rs.18,9,179.92.",4081.16
VK-SBIINB-S,State Bank of India,"INR4,7,832.82 paid from State Bank of India A/c XX6927 via NETBANK on 06-08-25. Ref 111897711670.",47832.82
AX-AXISBK-T,Axis Bank,"INR1,6,951.04 added to your Axis Bank A/c **2377 on 04-Aug-2025. Ref 534438605066. Avl bal: INR 7,4,271.24.",16951.04
BP-KOTAKUPI-S,Kotak Mahindra Bank,"₹4,4,484.47 received to your Kotak Mahindra Bank A/c XX*2767 on 15-08-25. Ref 540566956236.",44484.47
AD-AXISBK-S,Axis Bank,INR337.15 CR to your Axis Bank A/c xxxx4596 on 28/06/2025. Ref 534798371056.,337.15
AD-AXISBK-T,Axis Bank,"Cr alert! INR470.94 CR to your Axis Bank A/c XX6828 on 01-Jun-2025 via UPI from VPA bpcl@axl (Ref KDM0OAPHT6O6). Bal INR 7,5,174.74.",470.94
AD-KOTAKB-I,Kotak Mahindra Bank,"Tx Alert: INR4,501.25 added to your Kotak Mahindra Bank A/c **7974 on 26/07/2025. Ref 3TGMALWVMB0IDD0W.",4501.25
AD-AXISBK-I,Axis Bank,"AXIS Alert: Txn alert: INR1,0,683.83 DR on Card linked to Axis Bank A/c XX4639 at DMart on 19-06-25. Ref 445575657507. Avl bal: INR 5,7,036.87.",10683.83
JD-IDFCFB-T,IDFC FIRST Bank,Tx Alert: Rs.283.22 DR from IDFC FIRST Bank A/c XX6981 via NETBANK on 24-08-25. Ref 190811197130.,283.22
MD-PNBSMS-I,Punjab National Bank,"₹2,8,561.98 paid from Punjab National Bank A/c XX8340 via UPI to Amazon (amazon@ybl) on 26-07-25. Ref 561101231780.",28561.98
AD-BOBMSG-T,Bank of Baroda,"Received alert! Rs.232.95 received to your Bank of Baroda A/c xxxx8009 on 10/06/2025 via UPI from VPA bigbazaar@okhdfcbank (Ref 893747045816). Avail bal Rs.7,131.45.",232.95
VM-HDFCBK-S,HDFC Bank,"₹3,870.51 purchase from HDFC Bank A/c XX1613 via CHEQUE on 13/07/2025. Ref 218553050124.",3870.51
AD-PNBSMS-T,Punjab National Bank,"Rs.3,658.51 purchase from Punjab National Bank A/c xxxx2900 via CHEQUE on 20/08/2025. Ref ZUL4AE6YA8S2DDET.",3658.51
BZ-BOBMSG-T,Bank of Baroda,"₹4,2,201.99 received to your Bank of Baroda A/c **3647 on 04-08-25. Ref 922319142120.",42201.99
VM-ICICIB-S,ICICI Bank,"Rs.1,4,076.83 received to ICICI Bank A/c **9489 on 05-Aug-2025 via IMPS. Ref 760497076449.",14076.83
BZ-BOBMSG-S,Bank of Baroda,"₹4,258.09 received to Bank of Baroda A/c xxxx7172 on 10-08-25 via NEFT. Ref 3FKP96AIU01LC5WW.",4258.09
VM-INDUSB,IndusInd Bank,Txn alert: INR341.58 spent on Card linked to IndusInd Bank A/c XX5421 at Reliance Trends on 03/06/2025. Ref 834166759713.,341.58
VK-AXISUPI-S,Axis Bank,"INR222.82 credited to your Axis Bank A/c XX7697 on 08/06/2025. Ref NUGPJ60SRY. Bal INR 7,384.26.",222.82
VM-IDFCUPI-S,IDFC FIRST Bank,"Received alert! Rs.1,7,312.00 received to your IDFC FIRST Bank A/c XX*7822 on 22-Jul-2025 via UPI from VPA croma@ybl (Ref 1R601EJT1WT80).",17312
MD-PNBSMS-S,Punjab National Bank,"Tx Alert: Txn alert: INR2,6,455.00 purchase on Card linked to Punjab National Bank A/c XX*1783 at Airtel on 17/08/2025. Ref EQKMQPY6N7QLBW66.",26455
AD-PNBSMS-T,Punjab National Bank,"Txn alert: INR1,1,750.68 spent on Card linked to Punjab National Bank A/c **5759 at PhonePe on 13-Jul-2025. Ref 980290441685. Avail bal INR19,0,789.30.",11750.68
VK-ICICIB-I,ICICI Bank,"Rs.378.48 added to your ICICI Bank A/c XX8118 on 10-Jul-2025. Ref 162744457425. Avl bal: Rs. 2,7,873.75.",378.48
AD-HDFCBK,HDFC Bank,"INR4,1,059.50 CR to your HDFC Bank A/c **8538 on 02-Jul-2025. Ref 219591149697. Bal INR 6,2,399.78.",41059.5
BP-YESBNK-I,YES Bank,"YES Alert: Rs.2,824.16 credited to your YES Bank A/c XX1332 on 01/07/2025. Ref 219764341104.",2824.16
AD-AXISBK,Axis Bank,AXIS Alert: ATM cash spent: INR99.59 from A/c xxxx8640 on 11/08/2025. Ref 784144403315.,99.59
BZ-HDFCBK-I,HDFC Bank,"Dear Customer, ATM cash DR: INR300.11 from A/c XX*7658 on 31-Jul-2025. Ref 856946427529.",300.11
AD-HDFCBK-S,HDFC Bank,"Rs.3,5,860.98 DR from HDFC Bank A/c XX*1803 via NETBANK on 06/06/2025. Ref 1I2HGJ11YEDW.",35860.98
MD-PNBSMS-T,Punjab National Bank,"₹437.04 added to your Punjab National Bank A/c xxxx1445 on 05-Jul-2025. Ref 775682214800. Avail bal ₹19,1,383.64.",437.04
VK-AXISUPI,Axis Bank,"Txn alert: ₹2,431.91 spent on Card linked to Axis Bank A/c XX*2052 at BPCL on 15/08/2025. Ref 377074167726. Bal ₹ 2,3,372.67.",2431.91
AD-HDFCBK-T,HDFC Bank,"Rs.4,658.72 spent from HDFC Bank A/c XX9897 via CHEQUE on 03-Jun-2025. Ref 447249942404.",4658.72
VK-ICICIB-T,ICICI Bank,"₹4,765.11 purchase from ICICI Bank A/c xxxx6813 via UPI to Spencer's (spencer's@axl) on 16-07-25. Ref 450437202910.",4765.11
AD-ICICIB-S,ICICI Bank,"ICICI Alert: Txn alert: ₹420.58 DR on Card linked to ICICI Bank A/c xxxx1500 at Swiggy on 23-Jun-2025. Ref 592177669537. Bal ₹ 16,7,611.93.",420.58
VM-INDUSB-I,IndusInd Bank,"INDUSIND Alert: Rs.1,817.23 paid from IndusInd Bank A/c XX*5590 via IMPS on 01-08-25. Ref FMPAH3QN21R91. Avl bal: Rs. 19,5,750.68.",1817.23
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.76.07 received to HDFC Bank A/c XX8962 on 27/07/2025 via NEFT. Ref 1ERTJ5PHT0HL9X. Avail bal Rs.6,7,948.07.",76.07
VK-YESUPI-I,YES Bank,"Dear Customer, INR364.94 DR from YES Bank A/c xxxx2857 via CHEQUE on 24-06-25. Ref 1ENNGAY37V.",364.94
VK-KOTAKB-I,Kotak Mahindra Bank,"Rs.2,0,735.04 received to your Kotak Mahindra Bank A/c **5001 on 24-Aug-2025. Ref 625694628195.",20735.04
VK-INDUSUPI,IndusInd Bank,"INR2,684.61 credited to IndusInd Bank A/c xxxx2250 on 07-Jun-2025 via IMPS. Ref 194852361298.",2684.61
AD-BOBMSG-S,Bank of Baroda,"₹6,359.32 credited to Bank of Baroda A/c xxxx9774 on 28/07/2025 via IMPS. Ref YILYXYEMU9.",6359.32
AD-YESBNK-S,YES Bank,INR102.74 paid from YES Bank A/c **4370 via IMPS on 03-08-25. Ref 991839124224.,102.74
VK-PNBUPI-S,Punjab National Bank,"Rs.4,426.61 added to Punjab National Bank A/c **4746 on 05/08/2025 via NEFT. Ref W43H93SIBXQNQ.",4426.61
AD-PNBSMS-S,Punjab National Bank,"Rs.1,8,108.80 spent from Punjab National Bank A/c XX*1850 via IMPS on 18-08-25. Ref 813953179151. Avail bal Rs.13,6,286.54.",18108.8
AD-HDFCBK-T,HDFC Bank,"INR4,829.35 debited from HDFC Bank A/c xxxx4974 via NEFT on 12/07/2025. Ref 706618307372.",4829.35
VM-HDFCBK-I,HDFC Bank,₹416.96 received to your HDFC Bank A/c **5922 on 09-Aug-2025. Ref HL88KZRUIN3OEUV.,416.96
VK-YESUPI-S,YES Bank,Txn alert: ₹367.01 purchase on Card linked to YES Bank A/c **7054 at Reliance Trends on 14-Jul-2025. Ref 814959613916.,367.01
AD-BOBMSG-S,Bank of Baroda,"₹4,802.83 paid from Bank of Baroda A/c XX*4477 via NEFT on 11/06/2025. Ref 515442486125.",4802.83
AD-INDUSB-I,IndusInd Bank,₹436.61 received to IndusInd Bank A/c **5944 on 19-07-25 via IMPS. Ref 434355716008.,436.61
VK-KOTAKB-T,Kotak Mahindra Bank,Txn alert: INR358.73 debited on Card linked to Kotak Mahindra Bank A/c **3635 at Uber on 27-08-25. Ref 523084216424.,358.73
AD-INDUSB-S,IndusInd Bank,"Dear Customer, Rs.279.44 received to your IndusInd Bank A/c xxxx9260 on 11/07/2025. Ref 553238381405.",279.44
VM-IDFCUPI,IDFC FIRST Bank,"Rs.3,2,741.07 DR from IDFC FIRST Bank A/c XX*5079 via NETBANK on 08/06/2025. Ref P7NL6DMJLXDW0Y.",32741.07
TM-SBIINB,State Bank of India,Rs.368.86 added to State Bank of India A/c XX8616 on 04/08/2025 via NEFT. Ref 29OMUWAHK2L.,368.86
VM-IDFCUPI-T,IDFC FIRST Bank,"₹1,2,974.75 paid from IDFC FIRST Bank A/c XX*6217 via NEFT on 28/07/2025. Ref 728048378827. Avl bal: ₹ 18,5,457.53.",12974.75
VM-IDFCUPI,IDFC FIRST Bank,"₹4,0,615.85 CR to your IDFC FIRST Bank A/c xxxx7938 on 14-Aug-2025. Ref 532727217439. Avail bal ₹11,7,973.92.",40615.85
VK-INDUSUPI,IndusInd Bank,"Txn alert: ₹5,930.04 debited on Card linked to IndusInd Bank A/c XX8613 at Myntra on 15-07-25. Ref LEO0EU2CI4EURE5. Bal ₹ 1,2,284.63.",5930.04
VK-ICICIB-I,ICICI Bank,"Rs.7,435.76 purchase from ICICI Bank A/c **1674 via UPI to DMart (dmart@oksbi) on 04-08-25. Ref 457124726863.",7435.76
AD-KOTAKB-S,Kotak Mahindra Bank,₹106.62 credited to Kotak Mahindra Bank A/c XX4695 on 24-Aug-2025 via NEFT. Ref O5DIGXL9YSU51EP.,106.62
AD-YESBNK-T,YES Bank,"Txn alert: ₹4,9,572.68 paid on Card linked to YES Bank A/c XX1687 at Myntra on 22-Jun-2025. Ref 832508598901. Bal ₹ 6,5,434.72.",49572.68
AD-INDUSB,IndusInd Bank,"Rs.3,8,998.29 added to your IndusInd Bank A/c xxxx7065 on 13/06/2025. Ref 673542314563.",38998.29
AD-SBIUPI-T,State Bank of India,"Rs.4,719.13 CR to your State Bank of India A/c **9474 on 02-Jun-2025. Ref 212133034477.",4719.13
VK-INDUSUPI-I,IndusInd Bank,"₹2,471.18 credited to your IndusInd Bank A/c **9032 on 18-Jun-2025. Ref MS804BFPV0V644.",2471.18
AD-ICICIB-I,ICICI Bank,"INR4,8,634.33 received to your ICICI Bank A/c XX1983 on 08-08-25. Ref 869460220627. Bal INR 11,1,890.91.",48634.33
VM-INDUSB-T,IndusInd Bank,"INR3,5,117.55 CR to your IndusInd Bank A/c xxxx1020 on 04/07/2025. Ref 109509028451. Avl bal: INR 18,6,758.57.",35117.55
VK-KOTAKB-I,Kotak Mahindra Bank,"Rs.4,4,893.29 received to your Kotak Mahindra Bank A/c XX*4191 on 10/07/2025. Ref 1VRGSS8K5IJU.",44893.29
BP-KOTAKUPI-T,Kotak Mahindra Bank,"₹3,390.08 paid from Kotak Mahindra Bank A/c XX1786 via UPI to Big Bazaar (bigbazaar@ybl) on 21-06-25. Ref NU985LTKMCCDUE.",3390.08
AD-HDFCBK-S,HDFC Bank,HDFC Alert: ATM cash purchase: ₹821.34 from A/c XX*5728 on 22-Jul-2025. Ref 433670331254.,821.34
AD-YESBNK-I,YES Bank,Tx Alert: INR59.32 paid from YES Bank A/c XX*7033 via IMPS on 11-06-25. Ref 378220657835.,59.32
VK-ICICIB-I,ICICI Bank,"INR4,409.82 CR to your ICICI Bank A/c **4695 on 03/07/2025. Ref 0H0GQ9C80EBKJF. Avl bal: INR 18,5,761.33.",4409.82
VK-YESUPI-I,YES Bank,"₹299.87 added to your YES Bank A/c XX*5481 on 29-07-25. Ref 768753452247. Avl bal: ₹ 3,882.77.",299.87
AD-BOBMSG-I,Bank of Baroda,"Rs.2,789.13 CR to Bank of Baroda A/c XX7276 on 18-06-25 via IMPS. Ref Z6PQ1AUF0TJ.",2789.13
VK-SBIINB-S,State Bank of India,"Tx Alert: Txn alert: Rs.529.58 spent on Card linked to State Bank of India A/c XX4401 at BPCL on 15-07-25. Ref 817496036246. Avl bal: Rs. 1,7,996.69.",529.58
AD-BOBMSG-T,Bank of Baroda,"₹4,379.08 added to your Bank of Baroda A/c xxxx6604 on 07-07-25. Ref 6PPYWH8EA3. Avail bal ₹15,1,794.43.",4379.08
MD-PNBSMS,Punjab National Bank,"₹217.86 credited to Punjab National Bank A/c XX6685 on 06/06/2025 via NEFT. Ref LL2PF1TE32PEZX8U. Avl bal: ₹ 18,5,363.53.",217.86
AD-SBIUPI-S,State Bank of India,"Dear Customer, Txn alert: Rs.2,6,876.68 DR on Card linked to State Bank of India A/c XX*9686 at Tata Sky on 10/07/2025. Ref 244170248107. Avl bal: Rs. 5,7,985.19.",26876.68
VM-ICICIB-S,ICICI Bank,"₹4,682.45 paid from ICICI Bank A/c XX*1011 via CHEQUE on 21-06-25. Ref 433504198505. Avail bal ₹7,4,682.83.",4682.45
BZ-HDFCBK-I,HDFC Bank,ATM cash purchase: INR388.58 from A/c XX*6070 on 03-Jul-2025. Ref N89QKNS832E.,388.58
VK-SBIINB-T,State Bank of India,"Rs.3,302.14 CR to your State Bank of India A/c XX8147 on 31/07/2025. Ref 313572441985.",3302.14
AD-YESBNK-I,YES Bank,"Dear Customer, INR2,849.96 credited to your YES Bank A/c xxxx7293 on 08-Jul-2025. Ref 214097265976.",2849.96
JD-IDFCFB-T,IDFC FIRST Bank,Rs.887.05 received to your IDFC FIRST Bank A/c XX6039 on 12-07-25. Ref 217912643730.,887.05
AD-HDFCBK-I,HDFC Bank,"Rs.2,091.55 credited to HDFC Bank A/c xxxx3532 on 29/07/2025 via NEFT. Ref 35A0L7253J2D54I3. Bal Rs. 3,9,029.39.",2091.55
VM-HDFCBK-I,HDFC Bank,"Tx Alert: ATM cash debited: INR3,500.78 from A/c xxxx5712 on 15-Aug-2025. Ref 482016878181.",3500.78
JD-IDFCFB-T,IDFC FIRST Bank,"Dear Customer, ATM cash DR: ₹5,263.00 from A/c xxxx7038 on 06-Jul-2025. Ref QML8QQZYEKV2DY4T.",5263
BZ-HDFCBK-I,HDFC Bank,"Txn alert: INR4,4,044.45 DR on Card linked to HDFC Bank A/c XX*5331 at Reliance Trends on 11-08-25. Ref 406001469648.",44044.45
AD-AXISBK-T,Axis Bank,"AXIS Alert: INR332.14 debited from Axis Bank A/c XX*7498 via IMPS on 19-07-25. Ref 818000364477. Bal INR 13,0,812.50.",332.14
VK-PNBUPI-T,Punjab National Bank,"PNB Alert: Rs.2,4,973.40 spent from Punjab National Bank A/c XX9435 via IMPS on 28/07/2025. Ref 313407418342.",24973.4
AD-SBIUPI-T,State Bank of India,"₹2,524.77 added to your State Bank of India A/c xxxx4066 on 26/08/2025. Ref 386062228864. Avail bal ₹2,3,777.31.",2524.77
VK-SBIINB-T,State Bank of India,"Rs.1,7,285.59 credited to your State Bank of India A/c **6269 on 13-Jul-2025. Ref 761248838489.",17285.59
BZ-HDFCBK-I,HDFC Bank,"₹157.35 credited to HDFC Bank A/c **8619 on 26-Jun-2025 via IMPS. Ref V8Z2FLU7U6N. Avl bal: ₹ 15,4,609.94.",157.35
AD-BOBMSG-I,Bank of Baroda,INR797.47 added to Bank of Baroda A/c XX7192 on 14-08-25 via NEFT. Ref 419898620592.,797.47
VK-KOTAKB-I,Kotak Mahindra Bank,"Tx Alert: Rs.3,034.19 added to your Kotak Mahindra Bank A/c XX3355 on 02-08-25. Ref 328360214455. Avail bal Rs.16,7,695.04.",3034.19
JD-IDFCFB,IDFC FIRST Bank,"Rs.448.66 CR to your IDFC FIRST Bank A/c xxxx6160 on 17/07/2025. Ref 916231130948. Avl bal: Rs. 7,049.19.",448.66
BZ-BOBMSG,Bank of Baroda,BOB Alert: ₹169.15 debited from Bank of Baroda A/c XX8416 via CHEQUE on 09/07/2025. Ref 579086987116.,169.15
VK-BOBUPI-S,Bank of Baroda,"Tx Alert: Rs.1,482.54 received to your Bank of Baroda A/c **4012 on 02-08-25. Ref 849565941719.",1482.54
TM-SBIINB,State Bank of India,"Txn alert: ₹3,623.27 DR on Card linked to State Bank of India A/c xxxx6606 at JioMart on 13-08-25. Ref 184480311048.",3623.27
VK-ICICIB-T,ICICI Bank,"INR2,0,223.53 spent from ICICI Bank A/c XX*2560 via NEFT on 03-08-25. Ref RXXF36WA7SQ. Avl bal: INR 19,4,043.94.",20223.53
VM-ICICIB-S,ICICI Bank,"Dear Customer, INR4,5,140.29 received to ICICI Bank A/c XX4122 on 18/06/2025 via NEFT. Ref 0I5LDSLCB8QSSPY.",45140.29
JD-IDFCFB-S,IDFC FIRST Bank,"₹174.73 debited from IDFC FIRST Bank A/c XX4216 via CHEQUE on 11-Jun-2025. Ref 619657449438. Avail bal ₹19,3,499.21.",174.73
AD-YESBNK,YES Bank,Rs.443.63 credited to your YES Bank A/c XX4764 on 18-Jun-2025. Ref 738445407995.,443.63
VM-IDFCUPI-T,IDFC FIRST Bank,"INR125.50 purchase from IDFC FIRST Bank A/c xxxx4032 via NEFT on 09/06/2025. Ref 117188942725. Avl bal: INR 9,539.27.",125.5
AD-KOTAKB-T,Kotak Mahindra Bank,"Dear Customer, Txn alert: INR261.81 purchase on Card linked to Kotak Mahindra Bank A/c XX7034 at VI Prepaid on 14-06-25. Ref 128309106281.",261.81
BP-KOTAKUPI-S,Kotak Mahindra Bank,"₹2,7,890.02 debited from Kotak Mahindra Bank A/c XX5576 via CHEQUE on 07-Jun-2025. Ref 475780834076. Avail bal ₹7,7,121.52.",27890.02
VK-YESUPI-T,YES Bank,"Dear Customer, ₹153.89 DR from YES Bank A/c xxxx7467 via UPI to Big Bazaar (bigbazaar@sbi) on 12/07/2025. Ref 8UXZ3ADHF025. Avail bal ₹4,0,709.01.",153.89
VK-INDUSUPI-I,IndusInd Bank,"ATM cash DR: INR4,8,530.22 from A/c xxxx8299 on 01/08/2025. Ref 225298528714.",48530.22
VK-YESUPI-I,YES Bank,"Tx Alert: INR1,6,540.54 DR from YES Bank A/c XX7703 via NEFT on 01-06-25. Ref VQHMIE22TW1BYTX. Avail bal INR10,0,988.24.",16540.54
AD-ICICIB-I,ICICI Bank,"Rs.1,560.39 received to your ICICI Bank A/c xxxx1568 on 23-06-25. Ref 592878372682.",1560.39
AD-SBIUPI,State Bank of India,"₹7,483.76 received to your State Bank of India A/c **2485 on 11/06/2025. Ref 477789298437.",7483.76
AD-KOTAKB,Kotak Mahindra Bank,"Tx Alert: INR2,932.42 credited to Kotak Mahindra Bank A/c XX*5118 on 15/06/2025 via NEFT. Ref 5FKTISWLWT. Avail bal INR8,4,570.44.",2932.42
BZ-BOBMSG-S,Bank of Baroda,"Rs.3,1,357.57 added to Bank of Baroda A/c XX2222 on 14/07/2025 via IMPS. Ref 715418633861.",31357.57
AD-AXISBK-S,Axis Bank,"Txn alert: ₹1,268.36 DR on Card linked to Axis Bank A/c **3960 at Croma on 02/07/2025. Ref 8TV4REASFEN0B09.",1268.36
AD-BOBMSG-T,Bank of Baroda,"INR199.46 CR to Bank of Baroda A/c xxxx8678 on 05-Aug-2025 via IMPS. Ref BD0XQTQV8EL. Avail bal INR10,0,421.62.",199.46
AD-SBIUPI-T,State Bank of India,"Txn alert: INR402.19 purchase on Card linked to State Bank of India A/c XX*5939 at DMart on 11/08/2025. Ref 163039659331. Avail bal INR15,0,516.69.",402.19
VK-ICICIB-I,ICICI Bank,"INR2,140.22 added to ICICI Bank A/c XX3762 on 22/08/2025 via IMPS. Ref 343892553084.",2140.22
VK-YESUPI,YES Bank,"₹2,910.48 paid from YES Bank A/c XX*2927 via NETBANK on 21/06/2025. Ref 424062695319. Avl bal: ₹ 13,7,518.07.",2910.48
VK-INDUSUPI-T,IndusInd Bank,"Dear Customer, Rs.320.35 credited to IndusInd Bank A/c xxxx9755 on 13-07-25 via NEFT. Ref 414121795722.",320.35
AD-KOTAKB-I,Kotak Mahindra Bank,"Tx Alert: Txn alert: ₹3,462.37 spent on Card linked to Kotak Mahindra Bank A/c **2713 at Reliance Trends on 18-Aug-2025. Ref FRM6GMFT1P.",3462.37
BP-YESBNK-I,YES Bank,INR392.98 spent from YES Bank A/c XX*8805 via NEFT on 28-Jul-2025. Ref 527847673013.,392.98
VM-IDFCUPI-I,IDFC FIRST Bank,"Dear Customer, INR396.69 debited from IDFC FIRST Bank A/c **7496 via IMPS on 28/08/2025. Ref IBZYFGGK82P5. Avl bal: INR 6,3,543.05.",396.69
BZ-BOBMSG-I,Bank of Baroda,"₹170.90 received to Bank of Baroda A/c XX*8171 on 02-Aug-2025 via NEFT. Ref 563388760133. Avl bal: ₹ 17,2,916.74.",170.9
AD-BOBMSG-T,Bank of Baroda,"Credited alert! Rs.1,500.38 credited to your Bank of Baroda A/c XX9212 on 06/07/2025 via UPI from VPA irctc@sbi (Ref PN7Y853J5SFMZQRS).",1500.38
VM-INDUSB-I,IndusInd Bank,"Txn alert: ₹2,733.72 paid on Card linked to IndusInd Bank A/c XX7798 at Paytm on 04-Jul-2025. Ref 515F9MZ99Z.",2733.72
BP-KOTAKUPI-I,Kotak Mahindra Bank,"INR1,7,365.40 spent from Kotak Mahindra Bank A/c **4042 via CHEQUE on 22-Jul-2025. Ref 761621424758.",17365.4
AD-KOTAKB-I,Kotak Mahindra Bank,"Tx Alert: ₹4,8,973.04 CR to Kotak Mahindra Bank A/c xxxx7779 on 11/07/2025 via IMPS. Ref KHDIU1JTKA1C2Z.",48973.04
VK-SBIINB-T,State Bank of India,INR451.70 credited to your State Bank of India A/c XX8208 on 24/06/2025. Ref 349342467371.,451.7
AD-SBIUPI-S,State Bank of India,"₹1,9,325.14 added to your State Bank of India A/c XX7669 on 30/06/2025. Ref 797534874433. Avail bal ₹11,1,164.14.",19325.14
VK-YESUPI-T,YES Bank,"YES Alert: ATM cash paid: INR300.58 from A/c XX2824 on 19-Aug-2025. Ref 119474557561. Avail bal INR18,0,353.16.",300.58
AD-YESBNK,YES Bank,"INR4,1,949.24 paid from YES Bank A/c XX8816 via NETBANK on 15/07/2025. Ref 4CLLSAD0UCSWNQMW. Avl bal: INR 10,3,641.01.",41949.24
BZ-BOBMSG,Bank of Baroda,"BOB Alert: Received alert! Rs.3,972.41 received to your Bank of Baroda A/c XX4902 on 05-06-25 via UPI from VPA jiomart@okhdfcbank (Ref 729394016183). Avail bal Rs.3,8,889.49.",3972.41
AD-IDFCFB-S,IDFC FIRST Bank,"Rs.98.92 CR to your IDFC FIRST Bank A/c xxxx4357 on 15-07-25. Ref VAE1ISYERU. Bal Rs. 17,8,334.41.",98.92
VK-KOTAKB,Kotak Mahindra Bank,"Tx Alert: Rs.311.95 credited to your Kotak Mahindra Bank A/c xxxx1544 on 16-Jul-2025. Ref 1U5MY80TGH3S. Avl bal: Rs. 12,5,281.40.",311.95
AD-KOTAKB,Kotak Mahindra Bank,₹370.41 debited from Kotak Mahindra Bank A/c XX*3930 via CHEQUE on 20/06/2025. Ref 188797241570.,370.41
VK-INDUSUPI-S,IndusInd Bank,₹272.47 received to your IndusInd Bank A/c XX*4245 on 18-Aug-2025. Ref ZSO6AXUWRIEN.,272.47
